,lexicon,nr_targets,model_name,pears_corr,spear_corr,f1,template,date
0,Bellezza,1,mistral-7b-instruct,0.7710738462303349,0.7089770729840379,,9,2024-05-13
1,Bellezza,1,mistral-7b-instruct,0.5987416880996658,0.5597273229552409,,22,2024-05-13
2,Bellezza,1,mistral-7b,0.7585472480811086,0.7010564354010064,,9,2024-05-13
3,Bellezza,1,mistral-7b,0.7553939912118401,0.7339083306662314,,22,2024-05-13
4,Bellezza,1,gpt2,0.7859343848925304,0.6670416186177767,,9,2024-05-13
5,Bellezza,1,gpt2,0.8542139697371525,0.7156209623551165,,22,2024-05-13
6,Bellezza,5,mistral-7b-instruct,0.5818473589119039,0.4395771588578072,,9,2024-05-13
7,Bellezza,5,mistral-7b-instruct,0.7398699993847835,0.7718130200839654,,22,2024-05-13
8,Bellezza,5,mistral-7b,0.8011951452040422,0.7927481637427062,,9,2024-05-13
9,Bellezza,5,mistral-7b,0.7969883002779228,0.7947686485376779,,22,2024-05-13
10,Bellezza,5,gpt2,0.7002855233105666,0.705745601607427,,9,2024-05-13
11,Bellezza,5,gpt2,0.7886278443046589,0.7875508926134724,,22,2024-05-13
12,sst2,1,mistral-7b-instruct,,,0.705607476635514,9,2024-05-13
13,sst2,1,mistral-7b-instruct,,,0.7289719626168224,22,2024-05-13
14,sst2,1,mistral-7b,,,0.6518691588785047,9,2024-05-13
15,sst2,1,mistral-7b,,,0.7219626168224299,22,2024-05-13
16,sst2,1,gpt2,,,0.7079439252336449,9,2024-05-13
17,sst2,1,gpt2,,,0.705607476635514,22,2024-05-13
